,line,stopno,on,off
3037,162,3110,409.14814814814815,201.11111111111111
3038,7016,3110,603.5555555555555,150.33333333333334
3039,1711,3110,568.5925925925926,233.4814814814815
3040,162,3111,97.25925925925925,250.5185185185185
3041,7016,3111,323.6666666666667,338.55555555555554
3042,1711,3111,354.3333333333333,320.8888888888889
3043,용산02,3111,1276.5925925925926,299.6666666666667
3044,5012,3119,192.66666666666666,374.6666666666667
3045,17,3122,240.37037037037038,150.2962962962963
3046,서대문06,3124,14.851851851851851,16.555555555555557
3047,503,3124,7.148148148148148,80.22222222222223
3048,262,3124,57.7037037037037,145.25925925925927
3049,서대문06,3125,4.703703703703703,32.333333333333336
3050,262,3125,37.48148148148148,79.14814814814815
3051,서대문06,3126,76.18518518518519,10.703703703703704
3052,503,3126,35.407407407407405,78.0
3053,262,3126,201.03703703703704,160.62962962962962
3054,서대문06,3127,18.77777777777778,66.11111111111111
3055,262,3127,182.25925925925927,194.66666666666666
3056,503,3128,77.92592592592592,101.18518518518519
3057,262,3128,303.5925925925926,221.4814814814815
3058,용산04,3129,882.2592592592592,160.55555555555554
3059,262,3129,214.88888888888889,307.51851851851853
3060,505,3130,10.592592592592593,190.96296296296296
3061,505,3131,131.74074074074073,41.18518518518518
3062,용산03,3132,30.962962962962962,46.81481481481482
3063,505,3132,110.33333333333333,139.7037037037037
3064,505,3133,129.77777777777777,72.18518518518519
3065,5012,3134,131.11111111111111,42.0
3066,505,3134,149.62962962962962,101.92592592592592
3067,5012,3135,25.296296296296298,103.07407407407408
3068,505,3135,78.33333333333333,168.8148148148148
3069,5012,3136,46.22222222222222,69.44444444444444
3070,505,3136,65.22222222222223,121.14814814814815
3071,5012,3137,70.51851851851852,79.70370370370371
3072,505,3137,97.48148148148148,82.96296296296296
3073,5012,3138,151.25925925925927,181.07407407407408
3074,505,3138,141.74074074074073,247.14814814814815
3075,503,3139,59.77777777777778,32.48148148148148
3076,162,3139,103.88888888888889,172.07407407407408
3077,1711,3139,127.03703703703704,155.4814814814815
3078,7016,3139,156.92592592592592,105.74074074074075
3079,262,3139,105.22222222222223,207.14814814814815
3080,용산04,3140,88.44444444444444,92.77777777777777
3081,503,3140,25.48148148148148,29.703703703703702
3082,162,3140,163.37037037037038,68.11111111111111
3083,1711,3140,146.25925925925927,82.77777777777777
3084,7016,3140,127.25925925925925,89.37037037037037
3085,262,3140,103.07407407407408,55.03703703703704
3086,용산02,3140,210.44444444444446,54.333333333333336
3087,503,3141,78.03703703703704,41.03703703703704
3088,162,3141,161.14814814814815,185.03703703703704
3089,1711,3141,86.55555555555556,175.7037037037037
3090,7016,3141,117.33333333333333,123.07407407407408
3091,262,3141,112.29629629629629,170.88888888888889
3092,용산04,3142,50.18518518518518,65.81481481481481
3093,503,3142,10.814814814814815,62.111111111111114
3094,162,3142,84.18518518518519,118.88888888888889
3095,1711,3142,79.4074074074074,59.03703703703704
