ID,Neighborhood_ID,Avg,City,Sigungu,Neighborhood_name
215,11440680,26686.70673,서울특별시,마포구,합정동
216,11440690,17091.77283,서울특별시,마포구,망원1동
217,11440700,16219.85195,서울특별시,마포구,망원2동
218,11440710,17884.74793,서울특별시,마포구,연남동
219,11440720,20173.50404,서울특별시,마포구,성산1동
220,11440730,36465.86763,서울특별시,마포구,성산2동
221,11440740,57719.31047,서울특별시,마포구,상암동
222,11470510,54578.81492,서울특별시,양천구,목1동
223,11470520,20161.89942,서울특별시,양천구,목2동
224,11470530,18647.90281,서울특별시,양천구,목3동
225,11470540,15193.05544,서울특별시,양천구,목4동
226,11470550,39611.92908,서울특별시,양천구,목5동
227,11470560,13728.72209,서울특별시,양천구,신월1동
228,11470570,13179.59375,서울특별시,양천구,신월2동
229,11470580,13220.44334,서울특별시,양천구,신월3동
230,11470590,11358.89656,서울특별시,양천구,신월4동
231,11470600,11479.65503,서울특별시,양천구,신월5동
232,11470610,6354.860038,서울특별시,양천구,신월6동
233,11470611,16256.91596,서울특별시,양천구,신월7동
234,11470620,15362.68434,서울특별시,양천구,신정1동
235,11470630,13074.93453,서울특별시,양천구,신정2동
236,11470640,33114.98105,서울특별시,양천구,신정3동
237,11470650,31802.00467,서울특별시,양천구,신정4동
238,11470670,16630.65114,서울특별시,양천구,신정6동
239,11470680,22328.82004,서울특별시,양천구,신정7동
240,11500510,28609.08341,서울특별시,강서구,염창동
241,11500520,18243.26878,서울특별시,강서구,등촌1동
242,11500530,13356.04829,서울특별시,강서구,등촌2동
243,11500535,36040.54565,서울특별시,강서구,등촌3동
244,11500540,42334.66543,서울특별시,강서구,화곡1동
245,11500550,11503.70705,서울특별시,강서구,화곡2동
246,11500560,15168.50255,서울특별시,강서구,화곡3동
247,11500570,15971.9342,서울특별시,강서구,화곡4동
248,11500590,22852.54984,서울특별시,강서구,화곡본동
249,11500591,20708.2743,서울특별시,강서구,화곡6동
250,11500593,23976.2539,서울특별시,강서구,화곡8동
251,11500603,38938.8838,서울특별시,강서구,가양1동
252,11500604,14367.70226,서울특별시,강서구,가양2동
253,11500605,12002.00138,서울특별시,강서구,가양3동
254,11500611,34828.37539,서울특별시,강서구,발산1동
255,11500615,34715.41526,서울특별시,강서구,우장산동
256,11500620,40950.97456,서울특별시,강서구,공항동
257,11500630,33241.72147,서울특별시,강서구,방화1동
258,11500640,38705.74373,서울특별시,강서구,방화2동
259,11500641,17515.13385,서울특별시,강서구,방화3동
