line,station,year,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
5호선,답십리,2018.0,16.916666666666668,2.0,10853.666666666666,1147.1666666666667,19284.0,9379.5,57777.166666666664,14045.916666666666,81072.75,37513.416666666664,38685.416666666664,19362.416666666668,24384.083333333332,14506.333333333334,21257.25,14622.25,22320.416666666668,16630.416666666668,22312.666666666668,20207.833333333332,20347.916666666668,20632.583333333332,20826.916666666668,21655.333333333332,25131.083333333332,25059.083333333332,30080.5,33998.833333333336,37094.25,52357.333333333336,22754.916666666668,46133.583333333336,14017.0,28441.666666666668,12368.333333333334,26278.0,9313.0,25967.833333333332,4365.916666666667,17271.5,571.4166666666666,5020.583333333333,8.166666666666666,48.416666666666664,0.0,3.4166666666666665,0.0,0.0,450285.4166666667,496844.8333333333
5호선,동대문역사문화공원,2018.0,0.8333333333333334,0.0,345.0,313.9166666666667,596.9166666666666,3091.6666666666665,1045.5833333333333,10624.083333333334,2123.5,35509.5,2491.0,12111.916666666666,2700.3333333333335,5187.916666666667,3494.25,4501.5,2735.25,4170.75,2843.6666666666665,4717.333333333333,3378.9166666666665,4468.75,4126.416666666667,3863.1666666666665,4675.333333333333,3818.0,9771.166666666666,4122.25,22493.0,4596.666666666667,11163.25,3357.0833333333335,5780.416666666667,2121.5833333333335,4619.583333333333,2153.4166666666665,3662.3333333333335,2106.8333333333335,1747.75,1519.6666666666667,345.0833333333333,444.75,1.0833333333333333,9.166666666666666,0.0,0.0,0.0,0.0,112809.91666666667,92157.83333333333
5호선,둔촌동,2018.0,1.1666666666666667,1.0,4048.8333333333335,441.0,10915.916666666666,6414.916666666667,30800.166666666668,13334.916666666666,35176.75,25068.333333333332,19113.75,16340.083333333334,14035.833333333334,12308.5,13844.083333333334,11503.333333333334,15278.0,12089.166666666666,15723.75,13605.5,14879.416666666666,14091.083333333334,15500.083333333334,15671.333333333334,16920.583333333332,17972.0,20219.083333333332,22504.583333333332,23896.583333333332,32308.0,14306.666666666666,29408.916666666668,9934.916666666666,17531.5,10213.083333333334,14378.25,8149.25,14363.833333333334,3163.5,9593.5,350.9166666666667,2071.8333333333335,2.3333333333333335,7.166666666666667,0.0,0.0,0.0,0.0,301008.75,298491.5
5호선,마곡,2018.0,1.9166666666666667,0.0,2624.5833333333335,2028.25,8508.083333333334,10106.333333333334,29668.916666666668,11633.083333333334,27459.916666666668,28405.0,13738.583333333334,10825.5,9580.583333333334,5335.25,8541.666666666666,4491.583333333333,8826.083333333334,5656.666666666667,8512.916666666666,6553.5,7821.833333333333,6745.5,8689.583333333334,7569.416666666667,13748.666666666666,9135.333333333334,22856.333333333332,11335.25,23287.583333333332,17487.333333333332,11110.166666666666,19255.416666666668,7128.75,11390.583333333334,5482.916666666667,10577.833333333334,4349.333333333333,11282.666666666666,1727.8333333333333,7301.083333333333,254.58333333333334,2901.3333333333335,0.5833333333333334,9.833333333333334,0.0,1.5833333333333333,0.0,0.0,200028.33333333334,225937.5
5호선,마장,2018.0,2.0833333333333335,0.5,2624.3333333333335,747.4166666666666,5884.833333333333,4198.583333333333,17441.083333333332,8092.666666666667,23155.166666666668,18533.083333333332,12962.0,12461.916666666666,9319.666666666666,9021.5,9097.25,8245.75,10842.333333333334,8482.75,10377.916666666666,8582.25,10002.583333333334,7667.0,10348.5,8107.333333333333,12009.666666666666,9291.666666666666,12859.416666666666,11874.666666666666,14315.5,17882.5,9293.416666666666,15030.666666666666,6579.666666666667,9191.916666666666,5868.916666666667,8442.083333333334,4737.75,8346.333333333334,1843.5,5351.583333333333,226.58333333333334,1608.5,1.9166666666666667,42.333333333333336,0.08333333333333333,1.4166666666666667,0.0,0.0,181204.41666666666,191810.08333333334
5호선,마천,2018.0,1.6666666666666667,0.6666666666666666,5932.75,265.8333333333333,8615.25,2732.0833333333335,25114.083333333332,3765.4166666666665,23362.416666666668,8823.0,12150.25,7148.5,8836.0,6606.25,7799.0,5400.75,8433.5,6063.083333333333,8048.666666666667,6654.833333333333,6977.0,6725.5,6624.833333333333,8652.0,7334.25,10953.916666666666,7664.916666666667,12601.916666666666,8158.583333333333,16211.166666666666,4116.833333333333,16608.583333333332,3064.0833333333335,10269.916666666666,2474.5833333333335,9126.666666666666,1509.8333333333333,9370.5,570.75,6113.416666666667,89.5,2787.0833333333335,0.6666666666666666,12.916666666666666,0.0,0.0,0.0,0.0,156894.0,158895.75
5호선,마포,2018.0,28.416666666666668,0.16666666666666666,2994.75,1249.0,8583.166666666666,7030.666666666667,27678.416666666668,21104.0,38969.5,75003.16666666667,20382.416666666668,36451.583333333336,15676.666666666666,17579.666666666668,16441.833333333332,16517.083333333332,17719.083333333332,15685.5,20620.166666666668,17365.083333333332,18696.083333333332,16695.25,20021.083333333332,16649.75,21174.083333333332,19417.916666666668,30582.333333333332,26257.5,61612.666666666664,46975.416666666664,26597.25,32904.083333333336,21035.25,18295.666666666668,22767.333333333332,15823.666666666666,18060.666666666668,14545.5,8100.75,9658.916666666666,1036.0833333333333,2817.0,1.6666666666666667,14.5,0.0,0.6666666666666666,0.0,0.0,428041.75,420769.25
5호선,명일,2018.0,5.916666666666667,1.0,4347.25,677.5,12426.666666666666,5889.833333333333,34580.25,6661.833333333333,32746.416666666668,12216.833333333334,18048.166666666668,9680.5,15311.333333333334,9116.333333333334,14229.583333333334,8955.25,15287.0,9587.0,14469.166666666666,10993.333333333334,12140.916666666666,11748.416666666666,12237.75,13388.583333333334,14463.916666666666,16619.0,15002.583333333334,20673.666666666668,12648.0,30066.0,7327.666666666667,32673.166666666668,5629.666666666667,16880.25,5749.5,14910.083333333334,3837.1666666666665,15882.5,1337.0,9986.916666666666,239.0,3424.75,1.5,43.583333333333336,0.0,2.0833333333333335,0.0,0.0,260078.41666666666,254078.5
5호선,목동,2018.0,2.0,0.6666666666666666,8122.166666666667,1500.75,21768.666666666668,7216.166666666667,68519.5,16384.25,80664.75,30445.083333333332,39258.333333333336,24411.083333333332,28869.666666666668,18373.333333333332,27300.5,17053.833333333332,27521.666666666668,19689.333333333332,26166.416666666668,23805.083333333332,24275.833333333332,26050.5,24331.333333333332,28853.25,27146.666666666668,34704.666666666664,30655.5,44457.75,35010.916666666664,79385.33333333333,21214.916666666668,71142.83333333333,16867.25,40089.583333333336,16915.5,36747.0,19646.0,35588.333333333336,6834.5,22654.5,921.5,7211.583333333333,3.5,22.833333333333332,0.0,0.0,0.0,0.0,585787.75,554033.0833333334
5호선,발산,2018.0,5.583333333333333,2.3333333333333335,3517.9166666666665,3194.5,9777.333333333334,22998.083333333332,30155.416666666668,27158.583333333332,30868.333333333332,85130.75,16681.083333333332,41625.333333333336,14986.583333333334,21627.583333333332,17140.833333333332,23479.0,20928.25,24629.083333333332,23574.916666666668,23940.916666666668,25393.166666666668,21449.833333333332,29673.0,21165.916666666668,39194.25,24026.25,54230.5,29313.666666666668,70640.0,43343.0,36420.083333333336,38867.25,28254.166666666668,19823.25,28774.75,16101.5,22950.333333333332,14552.0,9048.75,8999.416666666666,1066.6666666666667,3288.25,4.083333333333333,16.166666666666668,0.0,0.6666666666666666,0.0,0.0,514733.3333333333,515298.4166666667
5호선,방이,2018.0,1.25,1.0,2622.1666666666665,903.5,7891.666666666667,3573.75,21377.75,9684.333333333334,19764.25,24971.166666666668,12854.083333333334,13087.166666666666,10197.166666666666,8816.166666666666,9627.416666666666,7864.0,10507.166666666666,9297.583333333334,10861.25,10828.416666666666,10200.25,10261.083333333334,11017.416666666666,11200.333333333334,11873.166666666666,13714.0,14534.916666666666,17733.25,21793.25,21995.75,12088.416666666666,20829.333333333332,9500.75,11413.5,10859.416666666666,9952.25,12355.25,8734.5,2655.3333333333335,6735.916666666667,275.4166666666667,2258.5,1.75,9.416666666666666,0.0,0.0,0.0,0.0,223864.91666666666,224876.25
5호선,방화,2018.0,2.0833333333333335,0.08333333333333333,5205.333333333333,9.916666666666666,12072.583333333334,3692.3333333333335,33725.833333333336,6371.416666666667,28626.083333333332,16346.25,16459.75,8072.5,12972.083333333334,5988.75,12356.25,6141.0,13208.0,7340.0,12319.333333333334,8487.333333333334,10655.083333333334,9184.25,11372.583333333334,10786.5,13188.166666666666,12751.916666666666,12005.666666666666,14606.583333333334,12922.416666666666,20920.416666666668,6320.5,24394.166666666668,4570.916666666667,16127.166666666666,3661.5,14473.333333333334,2841.5,14591.333333333334,1226.6666666666667,9536.0,182.5,3600.1666666666665,2.1666666666666665,394.6666666666667,0.0,3.8333333333333335,0.0,0.0,213819.91666666666,227912.91666666666
5호선,상일동,2018.0,4.166666666666667,0.08333333333333333,5758.25,3366.9166666666665,20956.25,21718.833333333332,74527.91666666667,11028.5,60490.833333333336,14972.833333333334,29202.666666666668,7856.333333333333,19682.75,6910.5,16651.0,7870.0,16393.166666666668,8557.916666666666,14876.25,9771.166666666666,12805.666666666666,11361.916666666666,13510.083333333334,12997.25,22149.666666666668,16917.333333333332,29633.333333333332,21511.333333333332,20611.916666666668,34291.333333333336,8614.916666666666,41865.166666666664,5496.583333333333,24703.5,4032.5833333333335,20836.833333333332,2460.75,20052.666666666668,922.9166666666666,15139.5,91.58333333333333,3518.75,1.5,1158.75,0.0,5.25,0.0,0.0,316412.6666666667,380888.5833333333
5호선,서대문,2018.0,11.166666666666666,2.8333333333333335,3393.8333333333335,1009.4166666666666,6556.416666666667,12837.833333333334,17576.666666666668,53744.333333333336,25465.333333333332,148436.41666666666,17689.333333333332,47691.083333333336,16989.916666666668,25414.833333333332,21116.333333333332,21985.083333333332,22165.583333333332,20495.583333333332,22309.75,24913.083333333332,24663.0,21280.916666666668,29099.166666666668,17663.916666666668,37545.666666666664,17883.416666666668,50085.583333333336,21901.833333333332,107660.41666666667,30126.916666666668,37230.0,21363.666666666668,27106.083333333332,12473.0,26264.083333333332,11841.5,18642.666666666668,11058.833333333334,7894.5,6506.833333333333,929.5833333333334,1987.0833333333333,4.083333333333333,45.333333333333336,0.0,0.0,0.0,0.0,530663.75,522406.0
5호선,송정,2018.0,6.833333333333333,0.5,4519.083333333333,2023.0833333333333,10887.583333333334,7474.416666666667,31981.166666666668,10837.0,33977.333333333336,18232.916666666668,21130.166666666668,11339.5,16471.416666666668,9204.416666666666,14725.583333333334,9290.166666666666,14079.833333333334,10151.833333333334,13465.333333333334,10716.416666666666,12608.75,11887.916666666666,13192.25,13975.166666666666,15157.25,16944.583333333332,17749.833333333332,20251.0,21277.583333333332,29496.75,13001.916666666666,27981.833333333332,8685.75,18566.833333333332,8008.333333333333,16102.166666666666,6941.166666666667,15408.833333333334,3499.4166666666665,9543.416666666666,527.9166666666666,2868.5,2.0833333333333335,9.5,0.08333333333333333,2.5833333333333335,0.0,0.0,272309.3333333333,283907.8333333333
5호선,신금호,2018.0,15.0,0.3333333333333333,3291.3333333333335,468.8333333333333,7169.416666666667,3217.25,22117.083333333332,9434.0,29566.25,13530.75,15625.333333333334,7954.666666666667,10160.916666666666,6391.5,9531.666666666666,5895.916666666667,9802.166666666666,6782.916666666667,9882.833333333334,7832.666666666667,8726.416666666666,8294.25,8865.666666666666,10072.916666666666,11510.5,11851.25,10949.833333333334,15071.5,11711.5,23686.916666666668,8052.5,19709.083333333332,5535.75,11851.833333333334,4619.583333333333,11286.666666666666,3691.9166666666665,10851.333333333334,1479.25,7369.416666666667,247.83333333333334,2456.25,1.9166666666666667,10.0,0.08333333333333333,0.08333333333333333,0.0,0.0,194020.33333333334,194557.75
